Datetime,CanopyTemp, 
10/01/2016 17:00,27.79, 
10/01/2016 17:05,27.58, 
10/01/2016 17:10,27.71, 
10/01/2016 17:15,29, 
10/01/2016 17:20,28, 
10/01/2016 17:25,30.06, 
10/01/2016 17:30,30.02, 
10/01/2016 17:35,30.08, 
10/01/2016 17:40,30.86, 
10/01/2016 17:45,30.94, 
10/01/2016 17:50,30.79, 
10/01/2016 17:55,30.74, 
10/01/2016 18:00,30.6, 
10/01/2016 18:05,29.46, 
10/01/2016 18:10,30.42, 
10/01/2016 18:15,30.31, 
10/01/2016 18:20,30.21, 
10/01/2016 18:25,30.28, 
10/01/2016 18:30,29.85, 
10/01/2016 18:35,29.63, 
10/01/2016 18:40,29.35, 
10/01/2016 18:45,29.32, 
10/01/2016 18:50,29.26, 
10/01/2016 18:55,28.58, 
10/01/2016 19:00,28.67, 
10/01/2016 19:05,28.1, 
10/01/2016 19:10,28.13, 
10/01/2016 19:15,27.74, 
10/01/2016 19:20,27.5, 
10/01/2016 19:25,27.08, 
10/01/2016 19:30,26.62, 
10/01/2016 19:35,26.17, 
10/01/2016 19:40,25.7, 
10/01/2016 19:45,25.36, 
10/01/2016 19:50,24.79, 
10/01/2016 19:55,24.38, 
10/01/2016 20:00,23.82, 
10/01/2016 20:05,23.56, 
10/01/2016 20:10,23.3, 
10/01/2016 20:15,23.43, 
10/01/2016 20:20,23.06, 
10/01/2016 20:25,22.93, 
10/01/2016 20:30,22.6, 
10/01/2016 20:35,22.27, 
10/01/2016 20:40,22.12, 
10/01/2016 20:45,22.14, 
10/01/2016 20:50,22.03, 
10/01/2016 20:55,21.83, 
10/01/2016 21:00,21.89, 
10/01/2016 21:05,21.61, 
10/01/2016 21:10,21.7, 
10/01/2016 21:15,21.66, 
10/01/2016 21:20,21.39, 
10/01/2016 21:25,21.41, 
10/01/2016 21:30,21.6, 
10/01/2016 21:35,21.63, 
10/01/2016 21:40,21.78, 
10/01/2016 21:45,22.05, 
10/01/2016 21:50,21.97, 
10/01/2016 21:55,21.82, 
10/01/2016 22:00,23.55, 
10/01/2016 22:05,24.37, 
10/01/2016 22:10,23.6, 
10/01/2016 22:15,23.04, 
10/01/2016 22:20,22.15, 
10/01/2016 22:25,21.2, 
10/01/2016 22:30,20.9, 
10/01/2016 22:35,20.44, 
10/01/2016 22:40,21.05, 
10/01/2016 22:45,21.35, 
10/01/2016 22:50,21.42, 
10/01/2016 22:55,21.17, 
10/01/2016 23:00,20.7, 
10/01/2016 23:05,20.82, 
10/01/2016 23:10,21.16, 
10/01/2016 23:15,21.45, 
10/01/2016 23:20,21.92, 
10/01/2016 23:25,22.64, 
10/01/2016 23:30,22.35, 
10/01/2016 23:35,22.46, 
10/01/2016 23:40,22.54, 
10/01/2016 23:50,22.48, 
10/01/2016 23:55,20.98, 
11/01/2016 0:00,20.42, 
11/01/2016 0:05,19.68, 
11/01/2016 0:10,19.04, 
11/01/2016 0:20,18.52, 
11/01/2016 0:25,18.64, 
11/01/2016 0:30,18.82, 
11/01/2016 0:35,18.79, 
11/01/2016 0:40,18.88, 
11/01/2016 0:45,19.17, 
11/01/2016 0:50,19.97, 
11/01/2016 0:55,20.44, 
11/01/2016 1:00,20.3, 
11/01/2016 1:05,20.16, 
11/01/2016 1:10,20.07, 
11/01/2016 1:15,20.66, 
11/01/2016 1:20,21.29, 
11/01/2016 1:25,21.78, 
11/01/2016 1:30,22.25, 
11/01/2016 1:35,23.45, 
11/01/2016 1:40,24.22, 
11/01/2016 1:45,24.63, 
11/01/2016 1:50,24.46, 
11/01/2016 1:55,24.24, 
11/01/2016 2:00,24.44, 
11/01/2016 2:05,24.59, 
11/01/2016 2:10,24.43, 
11/01/2016 2:15,24.29, 
11/01/2016 2:20,24.14, 
11/01/2016 2:25,23.92, 
11/01/2016 2:30,24.04, 
11/01/2016 2:35,23.88, 
11/01/2016 2:40,23.8, 
11/01/2016 2:45,23.6, 
11/01/2016 2:50,23.33, 
11/01/2016 2:55,23.37, 
11/01/2016 3:00,23, 
11/01/2016 3:05,22.87, 
11/01/2016 3:10,22.59, 
11/01/2016 3:15,22.41, 
